x, y
cm-1, Jy
wavenumber, intensity
621.842208, 8.643090e+03
621.938895, 8.595440e+03
622.035612, 8.548373e+03
622.132359, 8.501879e+03
622.229136, 8.455947e+03
622.325943, 8.410565e+03
622.422781, 8.365723e+03
622.519648, 8.321413e+03
622.616546, 8.277622e+03
622.713474, 8.234343e+03
622.810432, 8.191565e+03
622.907420, 8.149280e+03
623.004439, 8.107478e+03
623.101488, 8.066151e+03
623.198567, 8.025290e+03
623.295676, 7.984887e+03
623.392815, 7.944935e+03
623.489985, 7.905425e+03
623.587185, 7.866349e+03
623.684416, 7.827700e+03
623.781676, 7.789470e+03
623.878967, 7.751654e+03
623.976289, 7.714242e+03
624.073641, 7.677230e+03
624.171023, 7.640609e+03
624.268435, 7.604374e+03
624.365878, 7.568518e+03
624.463352, 7.533035e+03
624.560856, 7.497919e+03
624.658390, 7.463164e+03
624.755955, 7.428765e+03
624.853550, 7.394714e+03
624.951176, 7.361008e+03
625.048832, 7.327640e+03
625.146519, 7.294606e+03
625.244236, 7.261899e+03
625.341984, 7.229516e+03
625.439762, 7.197450e+03
625.537571, 7.165698e+03
625.635411, 7.134254e+03
625.733281, 7.103114e+03
625.831182, 7.072274e+03
625.929114, 7.041728e+03
626.027076, 7.011473e+03
626.125068, 6.981504e+03
626.223092, 6.951817e+03
626.321146, 6.922407e+03
626.419231, 6.893272e+03
626.517347, 6.864407e+03
626.615493, 6.835808e+03
626.713670, 6.807472e+03
626.811878, 6.779394e+03
626.910117, 6.751571e+03
627.008386, 6.724000e+03
627.106687, 6.696677e+03
627.205018, 6.669599e+03
627.303380, 6.642763e+03
627.401772, 6.616164e+03
627.500196, 6.589800e+03
627.598651, 6.563668e+03
627.697136, 6.537765e+03
627.795653, 6.512087e+03
627.894200, 6.486633e+03
627.992778, 6.461398e+03
628.091387, 6.436379e+03
628.190027, 6.411576e+03
628.288699, 6.386983e+03
628.387401, 6.362599e+03
628.486134, 6.338422e+03
628.584898, 6.314447e+03
628.683694, 6.290674e+03
628.782520, 6.267099e+03
628.881377, 6.243720e+03
628.980266, 6.220535e+03
629.079185, 6.197540e+03
629.178136, 6.174735e+03
629.277118, 6.152116e+03
629.376131, 6.129682e+03
629.475175, 6.107429e+03
629.574250, 6.085357e+03
629.673357, 6.063462e+03
629.772495, 6.041743e+03
629.871664, 6.020198e+03
629.970864, 5.998825e+03
630.070095, 5.977621e+03
630.169358, 5.956585e+03
630.268652, 5.935714e+03
630.367977, 5.915008e+03
630.467334, 5.894463e+03
630.566722, 5.874079e+03
630.666141, 5.853853e+03
630.765592, 5.833784e+03
630.865074, 5.813870e+03
630.964587, 5.794109e+03
631.064132, 5.774499e+03
631.163708, 5.755040e+03
631.263316, 5.735728e+03
631.362955, 5.716564e+03
631.462625, 5.697544e+03
631.562327, 5.678668e+03
631.662061, 5.659934e+03
631.761826, 5.641340e+03
631.861622, 5.622886e+03
631.961450, 5.604569e+03
632.061310, 5.586388e+03
632.161201, 5.568342e+03
632.261124, 5.550429e+03
632.361078, 5.532648e+03
632.461064, 5.514998e+03
632.561082, 5.497478e+03
632.661131, 5.480085e+03
632.761212, 5.462819e+03
632.861324, 5.445678e+03
632.961468, 5.428661e+03
633.061644, 5.411768e+03
633.161852, 5.394996e+03
633.262091, 5.378345e+03
633.362362, 5.361813e+03
633.462665, 5.345400e+03
633.563000, 5.329103e+03
633.663366, 5.312923e+03
633.763765, 5.296857e+03
633.864195, 5.280905e+03
633.964656, 5.265066e+03
634.065150, 5.249338e+03
634.165676, 5.233721e+03
634.266233, 5.218213e+03
634.366823, 5.202814e+03
634.467444, 5.187523e+03
634.568097, 5.172338e+03
634.668782, 5.157258e+03
634.769499, 5.142283e+03
634.870248, 5.127412e+03
634.971029, 5.112643e+03
635.071843, 5.097977e+03
635.172688, 5.083411e+03
635.273565, 5.068944e+03
635.374474, 5.054577e+03
635.475415, 5.040309e+03
635.576388, 5.026137e+03
635.677394, 5.012062e+03
635.778431, 4.998083e+03
635.879501, 4.984198e+03
635.980603, 4.970407e+03
636.081737, 4.956710e+03
636.182903, 4.943104e+03
636.284101, 4.929591e+03
636.385331, 4.916168e+03
636.486594, 4.902835e+03
636.587889, 4.889592e+03
636.689216, 4.876437e+03
636.790575, 4.863370e+03
636.891967, 4.850389e+03
636.993391, 4.837496e+03
637.094847, 4.824687e+03
637.196336, 4.811964e+03
637.297857, 4.799325e+03
637.399410, 4.786769e+03
637.500996, 4.774297e+03
637.602614, 4.761906e+03
637.704265, 4.749597e+03
637.805948, 4.737369e+03
637.907663, 4.725221e+03
638.009411, 4.713153e+03
638.111191, 4.701164e+03
638.213004, 4.689253e+03
638.314849, 4.677419e+03
638.416727, 4.665663e+03
638.518637, 4.653984e+03
638.620580, 4.642380e+03
638.722555, 4.630852e+03
638.824563, 4.619398e+03
638.926603, 4.608019e+03
639.028676, 4.596713e+03
639.130782, 4.585480e+03
639.232920, 4.574320e+03
639.335092, 4.563232e+03
639.437295, 4.552215e+03
639.539532, 4.541270e+03
639.641801, 4.530394e+03
639.744102, 4.519589e+03
639.846437, 4.508852e+03
639.948804, 4.498185e+03
640.051204, 4.487586e+03
640.153637, 4.477055e+03
640.256102, 4.466591e+03
640.358601, 4.456194e+03
640.461132, 4.445863e+03
640.563696, 4.435598e+03
640.666293, 4.425399e+03
640.768923, 4.415265e+03
640.871585, 4.405195e+03
640.974281, 4.395189e+03
641.077009, 4.385247e+03
641.179771, 4.375368e+03
641.282565, 4.365552e+03
641.385392, 4.355798e+03
641.488253, 4.346105e+03
641.591146, 4.336475e+03
641.694072, 4.326905e+03
641.797032, 4.317396e+03
641.900024, 4.307947e+03
642.003050, 4.298558e+03
642.106108, 4.289228e+03
642.209200, 4.279957e+03
642.312324, 4.270745e+03
642.415482, 4.261591e+03
642.518673, 4.252495e+03
642.621897, 4.243456e+03
642.725155, 4.234475e+03
642.828445, 4.225550e+03
642.931769, 4.216681e+03
643.035126, 4.207868e+03
643.138516, 4.199111e+03
643.241939, 4.190409e+03
643.345396, 4.181762e+03
643.448886, 4.173170e+03
643.552409, 4.164631e+03
643.655966, 4.156147e+03
643.759556, 4.147716e+03
643.863179, 4.139338e+03
643.966836, 4.131013e+03
644.070526, 4.122740e+03
644.174249, 4.114520e+03
644.278006, 4.106352e+03
644.381796, 4.098235e+03
644.485620, 4.090169e+03
644.589477, 4.082154e+03
644.693368, 4.074190e+03
644.797292, 4.066276e+03
644.901249, 4.058412e+03
645.005241, 4.050598e+03
